Sector,Industry,ESG_Dimension,ESG_Topic,Materiality_Score,Is_Material
Consumer Goods,Appliance Manufacturing,Environment,Air Quality,4,True
Consumer Goods,Appliance Manufacturing,Environment,Energy Management,4,True
Consumer Goods,Appliance Manufacturing,Environment,Water & Wastewater Management,3,True
Consumer Goods,Appliance Manufacturing,Environment,Waste & Hazardous Materials,2,False
Consumer Goods,Appliance Manufacturing,Environment,Ecological Impacts,3,True
Consumer Goods,Appliance Manufacturing,Social Capital,Human Rights & Community Relations,5,True
Consumer Goods,Appliance Manufacturing,Social Capital,Customer Privacy,4,True
Consumer Goods,Appliance Manufacturing,Social Capital,Data Security,3,True
Consumer Goods,Appliance Manufacturing,Social Capital,Access & Affordability,3,True
Consumer Goods,Appliance Manufacturing,Social Capital,Product Quality & Safety,5,True
Consumer Goods,Appliance Manufacturing,Social Capital,Customer Welfare,4,True
Consumer Goods,Appliance Manufacturing,Social Capital,Selling Practices & Product Labeling,4,True
Consumer Goods,Appliance Manufacturing,Human Capital,Labor Practices,3,True
Consumer Goods,Appliance Manufacturing,Human Capital,Employee Health & Safety,2,False
Consumer Goods,Appliance Manufacturing,Human Capital,Employee Engagement,2,False
Consumer Goods,Appliance Manufacturing,Human Capital,Diversity & Inclusion,3,True
Consumer Goods,Appliance Manufacturing,Business Model & Innovation,Product Design & Lifecycle,3,True
Consumer Goods,Appliance Manufacturing,Business Model & Innovation,Business Model Resilience,3,True
Consumer Goods,Appliance Manufacturing,Business Model & Innovation,Supply Chain Management,4,True
Consumer Goods,Appliance Manufacturing,Business Model & Innovation,Materials Sourcing & Efficiency,3,True
Consumer Goods,Appliance Manufacturing,Business Model & Innovation,Physical Impacts of Climate Change,4,True
Consumer Goods,Appliance Manufacturing,Leadership & Governance,Business Ethics,3,True
Consumer Goods,Appliance Manufacturing,Leadership & Governance,Competitive Behavior,4,True
Consumer Goods,Appliance Manufacturing,Leadership & Governance,Regulatory Environment Management,3,True
Consumer Goods,Appliance Manufacturing,Leadership & Governance,Critical Incident Risk Management,2,False
Consumer Goods,Appliance Manufacturing,Leadership & Governance,Systemic Risk Management,4,True
Consumer Goods,Building Products & Furnishings,Environment,GHG Emissions,3,True
Consumer Goods,Building Products & Furnishings,Environment,Air Quality,4,True
Consumer Goods,Building Products & Furnishings,Environment,Energy Management,2,False
Consumer Goods,Building Products & Furnishings,Environment,Water & Wastewater Management,3,True
Consumer Goods,Building Products & Furnishings,Environment,Waste & Hazardous Materials,2,False
Consumer Goods,Building Products & Furnishings,Environment,Ecological Impacts,4,True
Consumer Goods,Building Products & Furnishings,Social Capital,Human Rights & Community Relations,4,True
Consumer Goods,Building Products & Furnishings,Social Capital,Customer Privacy,5,True
Consumer Goods,Building Products & Furnishings,Social Capital,Data Security,5,True
Consumer Goods,Building Products & Furnishings,Social Capital,Access & Affordability,4,True
Consumer Goods,Building Products & Furnishings,Social Capital,Product Quality & Safety,5,True
Consumer Goods,Building Products & Furnishings,Social Capital,Customer Welfare,3,True
Consumer Goods,Building Products & Furnishings,Social Capital,Selling Practices & Product Labeling,5,True
Consumer Goods,Building Products & Furnishings,Human Capital,Labor Practices,2,False
Consumer Goods,Building Products & Furnishings,Human Capital,Employee Health & Safety,2,False
Consumer Goods,Building Products & Furnishings,Human Capital,Employee Engagement,4,True
Consumer Goods,Building Products & Furnishings,Human Capital,Diversity & Inclusion,2,False
Consumer Goods,Building Products & Furnishings,Business Model & Innovation,Product Design & Lifecycle,4,True
Consumer Goods,Building Products & Furnishings,Business Model & Innovation,Business Model Resilience,3,True
Consumer Goods,Building Products & Furnishings,Business Model & Innovation,Supply Chain Management,3,True
Consumer Goods,Building Products & Furnishings,Business Model & Innovation,Materials Sourcing & Efficiency,3,True
Consumer Goods,Building Products & Furnishings,Business Model & Innovation,Physical Impacts of Climate Change,4,True
Consumer Goods,Building Products & Furnishings,Leadership & Governance,Business Ethics,3,True
Consumer Goods,Building Products & Furnishings,Leadership & Governance,Competitive Behavior,3,True
Consumer Goods,Building Products & Furnishings,Leadership & Governance,Regulatory Environment Management,4,True
Consumer Goods,Building Products & Furnishings,Leadership & Governance,Critical Incident Risk Management,3,True
Consumer Goods,Building Products & Furnishings,Leadership & Governance,Systemic Risk Management,2,False
Consumer Goods,E-Commerce,Environment,GHG Emissions,3,True
Consumer Goods,E-Commerce,Environment,Air Quality,3,True
Consumer Goods,E-Commerce,Environment,Energy Management,2,False
Consumer Goods,E-Commerce,Environment,Water & Wastewater Management,4,True
Consumer Goods,E-Commerce,Environment,Waste & Hazardous Materials,3,True
Consumer Goods,E-Commerce,Environment,Ecological Impacts,4,True
Consumer Goods,E-Commerce,Social Capital,Human Rights & Community Relations,5,True
Consumer Goods,E-Commerce,Social Capital,Customer Privacy,5,True
Consumer Goods,E-Commerce,Social Capital,Data Security,3,True
Consumer Goods,E-Commerce,Social Capital,Access & Affordability,5,True
Consumer Goods,E-Commerce,Social Capital,Product Quality & Safety,5,True
Consumer Goods,E-Commerce,Social Capital,Customer Welfare,3,True
Consumer Goods,E-Commerce,Social Capital,Selling Practices & Product Labeling,5,True
Consumer Goods,E-Commerce,Human Capital,Labor Practices,4,True
Consumer Goods,E-Commerce,Human Capital,Employee Health & Safety,2,False
Consumer Goods,E-Commerce,Human Capital,Employee Engagement,2,False
Consumer Goods,E-Commerce,Human Capital,Diversity & Inclusion,3,True
Consumer Goods,E-Commerce,Business Model & Innovation,Product Design & Lifecycle,4,True
Consumer Goods,E-Commerce,Business Model & Innovation,Business Model Resilience,4,True
Consumer Goods,E-Commerce,Business Model & Innovation,Supply Chain Management,5,True
Consumer Goods,E-Commerce,Business Model & Innovation,Materials Sourcing & Efficiency,5,True
Consumer Goods,E-Commerce,Business Model & Innovation,Physical Impacts of Climate Change,5,True
Consumer Goods,E-Commerce,Leadership & Governance,Business Ethics,2,False
Consumer Goods,E-Commerce,Leadership & Governance,Competitive Behavior,4,True
Consumer Goods,E-Commerce,Leadership & Governance,Regulatory Environment Management,3,True
Consumer Goods,E-Commerce,Leadership & Governance,Critical Incident Risk Management,2,False
Consumer Goods,E-Commerce,Leadership & Governance,Systemic Risk Management,2,False
Consumer Goods,Household & Personal Products,Environment,GHG Emissions,2,False
Consumer Goods,Household & Personal Products,Environment,Air Quality,3,True
Consumer Goods,Household & Personal Products,Environment,Energy Management,3,True
Consumer Goods,Household & Personal Products,Environment,Water & Wastewater Management,3,True
Consumer Goods,Household & Personal Products,Environment,Waste & Hazardous Materials,2,False
Consumer Goods,Household & Personal Products,Environment,Ecological Impacts,2,False
Consumer Goods,Household & Personal Products,Social Capital,Human Rights & Community Relations,5,True
Consumer Goods,Household & Personal Products,Social Capital,Customer Privacy,5,True
Consumer Goods,Household & Personal Products,Social Capital,Data Security,4,True
Consumer Goods,Household & Personal Products,Social Capital,Access & Affordability,3,True
Consumer Goods,Household & Personal Products,Social Capital,Product Quality & Safety,5,True
Consumer Goods,Household & Personal Products,Social Capital,Customer Welfare,4,True
Consumer Goods,Household & Personal Products,Social Capital,Selling Practices & Product Labeling,4,True
Consumer Goods,Household & Personal Products,Human Capital,Labor Practices,4,True
Consumer Goods,Household & Personal Products,Human Capital,Employee Health & Safety,3,True
Consumer Goods,Household & Personal Products,Human Capital,Employee Engagement,2,False
Consumer Goods,Household & Personal Products,Human Capital,Diversity & Inclusion,3,True
Consumer Goods,Household & Personal Products,Business Model & Innovation,Product Design & Lifecycle,3,True
Consumer Goods,Household & Personal Products,Business Model & Innovation,Business Model Resilience,3,True
Consumer Goods,Household & Personal Products,Business Model & Innovation,Supply Chain Management,5,True
Consumer Goods,Household & Personal Products,Business Model & Innovation,Materials Sourcing & Efficiency,5,True
Consumer Goods,Household & Personal Products,Business Model & Innovation,Physical Impacts of Climate Change,5,True
Consumer Goods,Household & Personal Products,Leadership & Governance,Business Ethics,3,True
Consumer Goods,Household & Personal Products,Leadership & Governance,Competitive Behavior,4,True
Consumer Goods,Household & Personal Products,Leadership & Governance,Regulatory Environment Management,4,True
Consumer Goods,Household & Personal Products,Leadership & Governance,Critical Incident Risk Management,3,True
Consumer Goods,Household & Personal Products,Leadership & Governance,Systemic Risk Management,4,True
Consumer Goods,Multiline & Specialty Retailers,Environment,GHG Emissions,3,True
Consumer Goods,Multiline & Specialty Retailers,Environment,Air Quality,3,True
Consumer Goods,Multiline & Specialty Retailers,Environment,Energy Management,2,False
Consumer Goods,Multiline & Specialty Retailers,Environment,Water & Wastewater Management,2,False
Consumer Goods,Multiline & Specialty Retailers,Environment,Waste & Hazardous Materials,4,True
Consumer Goods,Multiline & Specialty Retailers,Environment,Ecological Impacts,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Human Rights & Community Relations,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Customer Privacy,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Data Security,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Access & Affordability,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Product Quality & Safety,5,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Customer Welfare,3,True
Consumer Goods,Multiline & Specialty Retailers,Social Capital,Selling Practices & Product Labeling,5,True
Consumer Goods,Multiline & Specialty Retailers,Human Capital,Labor Practices,3,True
Consumer Goods,Multiline & Specialty Retailers,Human Capital,Employee Health & Safety,4,True
Consumer Goods,Multiline & Specialty Retailers,Human Capital,Employee Engagement,2,False
Consumer Goods,Multiline & Specialty Retailers,Human Capital,Diversity & Inclusion,3,True
Consumer Goods,Multiline & Specialty Retailers,Business Model & Innovation,Product Design & Lifecycle,4,True
Consumer Goods,Multiline & Specialty Retailers,Business Model & Innovation,Business Model Resilience,5,True
Consumer Goods,Multiline & Specialty Retailers,Business Model & Innovation,Supply Chain Management,4,True
Consumer Goods,Multiline & Specialty Retailers,Business Model & Innovation,Materials Sourcing & Efficiency,5,True
Consumer Goods,Multiline & Specialty Retailers,Business Model & Innovation,Physical Impacts of Climate Change,4,True
Consumer Goods,Multiline & Specialty Retailers,Leadership & Governance,Business Ethics,4,True
Consumer Goods,Multiline & Specialty Retailers,Leadership & Governance,Competitive Behavior,2,False
Consumer Goods,Multiline & Specialty Retailers,Leadership & Governance,Regulatory Environment Management,4,True
Consumer Goods,Multiline & Specialty Retailers,Leadership & Governance,Critical Incident Risk Management,4,True
Consumer Goods,Multiline & Specialty Retailers,Leadership & Governance,Systemic Risk Management,2,False
Consumer Goods,Toys & Sporting Goods,Environment,GHG Emissions,4,True
Consumer Goods,Toys & Sporting Goods,Environment,Air Quality,4,True
Consumer Goods,Toys & Sporting Goods,Environment,Energy Management,3,True
Consumer Goods,Toys & Sporting Goods,Environment,Water & Wastewater Management,4,True
Consumer Goods,Toys & Sporting Goods,Environment,Waste & Hazardous Materials,3,True
Consumer Goods,Toys & Sporting Goods,Environment,Ecological Impacts,2,False
Consumer Goods,Toys & Sporting Goods,Social Capital,Human Rights & Community Relations,4,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Customer Privacy,4,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Data Security,3,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Access & Affordability,4,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Product Quality & Safety,3,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Customer Welfare,5,True
Consumer Goods,Toys & Sporting Goods,Social Capital,Selling Practices & Product Labeling,5,True
Consumer Goods,Toys & Sporting Goods,Human Capital,Labor Practices,3,True
Consumer Goods,Toys & Sporting Goods,Human Capital,Employee Health & Safety,4,True
Consumer Goods,Toys & Sporting Goods,Human Capital,Employee Engagement,2,False
Consumer Goods,Toys & Sporting Goods,Human Capital,Diversity & Inclusion,4,True
Consumer Goods,Toys & Sporting Goods,Business Model & Innovation,Product Design & Lifecycle,3,True
Consumer Goods,Toys & Sporting Goods,Business Model & Innovation,Business Model Resilience,5,True
Consumer Goods,Toys & Sporting Goods,Business Model & Innovation,Supply Chain Management,4,True
Consumer Goods,Toys & Sporting Goods,Business Model & Innovation,Materials Sourcing & Efficiency,5,True
Consumer Goods,Toys & Sporting Goods,Business Model & Innovation,Physical Impacts of Climate Change,5,True
Consumer Goods,Toys & Sporting Goods,Leadership & Governance,Business Ethics,4,True
Consumer Goods,Toys & Sporting Goods,Leadership & Governance,Competitive Behavior,2,False
Consumer Goods,Toys & Sporting Goods,Leadership & Governance,Regulatory Environment Management,2,False
Consumer Goods,Toys & Sporting Goods,Leadership & Governance,Critical Incident Risk Management,3,True
Consumer Goods,Toys & Sporting Goods,Leadership & Governance,Systemic Risk Management,2,False
Extractives & Minerals Processing,Coal Operations,Environment,GHG Emissions,5,True
Extractives & Minerals Processing,Coal Operations,Environment,Air Quality,5,True
Extractives & Minerals Processing,Coal Operations,Environment,Energy Management,4,True
Extractives & Minerals Processing,Coal Operations,Environment,Water & Wastewater Management,5,True
Extractives & Minerals Processing,Coal Operations,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Coal Operations,Environment,Ecological Impacts,5,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Human Rights & Community Relations,3,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Customer Privacy,3,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Data Security,4,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Access & Affordability,4,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Product Quality & Safety,3,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Customer Welfare,3,True
Extractives & Minerals Processing,Coal Operations,Social Capital,Selling Practices & Product Labeling,3,True
Extractives & Minerals Processing,Coal Operations,Human Capital,Labor Practices,5,True
Extractives & Minerals Processing,Coal Operations,Human Capital,Employee Health & Safety,4,True
Extractives & Minerals Processing,Coal Operations,Human Capital,Employee Engagement,4,True
Extractives & Minerals Processing,Coal Operations,Human Capital,Diversity & Inclusion,5,True
Extractives & Minerals Processing,Coal Operations,Business Model & Innovation,Product Design & Lifecycle,3,True
Extractives & Minerals Processing,Coal Operations,Business Model & Innovation,Business Model Resilience,2,False
Extractives & Minerals Processing,Coal Operations,Business Model & Innovation,Supply Chain Management,4,True
Extractives & Minerals Processing,Coal Operations,Business Model & Innovation,Materials Sourcing & Efficiency,2,False
Extractives & Minerals Processing,Coal Operations,Business Model & Innovation,Physical Impacts of Climate Change,2,False
Extractives & Minerals Processing,Coal Operations,Leadership & Governance,Business Ethics,5,True
Extractives & Minerals Processing,Coal Operations,Leadership & Governance,Competitive Behavior,4,True
Extractives & Minerals Processing,Coal Operations,Leadership & Governance,Regulatory Environment Management,5,True
Extractives & Minerals Processing,Coal Operations,Leadership & Governance,Critical Incident Risk Management,3,True
Extractives & Minerals Processing,Coal Operations,Leadership & Governance,Systemic Risk Management,4,True
Extractives & Minerals Processing,Construction Materials,Environment,GHG Emissions,5,True
Extractives & Minerals Processing,Construction Materials,Environment,Air Quality,5,True
Extractives & Minerals Processing,Construction Materials,Environment,Energy Management,5,True
Extractives & Minerals Processing,Construction Materials,Environment,Water & Wastewater Management,4,True
Extractives & Minerals Processing,Construction Materials,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Construction Materials,Environment,Ecological Impacts,5,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Human Rights & Community Relations,5,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Customer Privacy,3,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Data Security,5,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Access & Affordability,4,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Product Quality & Safety,4,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Customer Welfare,5,True
Extractives & Minerals Processing,Construction Materials,Social Capital,Selling Practices & Product Labeling,5,True
Extractives & Minerals Processing,Construction Materials,Human Capital,Labor Practices,5,True
Extractives & Minerals Processing,Construction Materials,Human Capital,Employee Health & Safety,5,True
Extractives & Minerals Processing,Construction Materials,Human Capital,Employee Engagement,5,True
Extractives & Minerals Processing,Construction Materials,Human Capital,Diversity & Inclusion,5,True
Extractives & Minerals Processing,Construction Materials,Business Model & Innovation,Product Design & Lifecycle,2,False
Extractives & Minerals Processing,Construction Materials,Business Model & Innovation,Business Model Resilience,2,False
Extractives & Minerals Processing,Construction Materials,Business Model & Innovation,Supply Chain Management,2,False
Extractives & Minerals Processing,Construction Materials,Business Model & Innovation,Materials Sourcing & Efficiency,2,False
Extractives & Minerals Processing,Construction Materials,Business Model & Innovation,Physical Impacts of Climate Change,3,True
Extractives & Minerals Processing,Construction Materials,Leadership & Governance,Business Ethics,3,True
Extractives & Minerals Processing,Construction Materials,Leadership & Governance,Competitive Behavior,5,True
Extractives & Minerals Processing,Construction Materials,Leadership & Governance,Regulatory Environment Management,5,True
Extractives & Minerals Processing,Construction Materials,Leadership & Governance,Critical Incident Risk Management,3,True
Extractives & Minerals Processing,Construction Materials,Leadership & Governance,Systemic Risk Management,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,GHG Emissions,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,Air Quality,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,Energy Management,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,Water & Wastewater Management,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Environment,Ecological Impacts,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Human Rights & Community Relations,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Customer Privacy,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Data Security,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Access & Affordability,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Product Quality & Safety,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Customer Welfare,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Social Capital,Selling Practices & Product Labeling,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Human Capital,Labor Practices,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Human Capital,Employee Health & Safety,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Human Capital,Employee Engagement,5,True
Extractives & Minerals Processing,Iron & Steel Producers,Human Capital,Diversity & Inclusion,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Business Model & Innovation,Product Design & Lifecycle,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Business Model & Innovation,Business Model Resilience,2,False
Extractives & Minerals Processing,Iron & Steel Producers,Business Model & Innovation,Supply Chain Management,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Business Model & Innovation,Materials Sourcing & Efficiency,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Business Model & Innovation,Physical Impacts of Climate Change,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Leadership & Governance,Business Ethics,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Leadership & Governance,Competitive Behavior,3,True
Extractives & Minerals Processing,Iron & Steel Producers,Leadership & Governance,Regulatory Environment Management,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Leadership & Governance,Critical Incident Risk Management,4,True
Extractives & Minerals Processing,Iron & Steel Producers,Leadership & Governance,Systemic Risk Management,3,True
Extractives & Minerals Processing,Metals & Mining,Environment,GHG Emissions,4,True
Extractives & Minerals Processing,Metals & Mining,Environment,Air Quality,4,True
Extractives & Minerals Processing,Metals & Mining,Environment,Energy Management,5,True
Extractives & Minerals Processing,Metals & Mining,Environment,Water & Wastewater Management,5,True
Extractives & Minerals Processing,Metals & Mining,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Metals & Mining,Environment,Ecological Impacts,5,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Human Rights & Community Relations,4,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Customer Privacy,4,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Data Security,5,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Access & Affordability,3,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Product Quality & Safety,5,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Customer Welfare,5,True
Extractives & Minerals Processing,Metals & Mining,Social Capital,Selling Practices & Product Labeling,5,True
Extractives & Minerals Processing,Metals & Mining,Human Capital,Labor Practices,4,True
Extractives & Minerals Processing,Metals & Mining,Human Capital,Employee Health & Safety,4,True
Extractives & Minerals Processing,Metals & Mining,Human Capital,Employee Engagement,5,True
Extractives & Minerals Processing,Metals & Mining,Human Capital,Diversity & Inclusion,5,True
Extractives & Minerals Processing,Metals & Mining,Business Model & Innovation,Product Design & Lifecycle,3,True
Extractives & Minerals Processing,Metals & Mining,Business Model & Innovation,Business Model Resilience,2,False
Extractives & Minerals Processing,Metals & Mining,Business Model & Innovation,Supply Chain Management,2,False
Extractives & Minerals Processing,Metals & Mining,Business Model & Innovation,Materials Sourcing & Efficiency,2,False
Extractives & Minerals Processing,Metals & Mining,Business Model & Innovation,Physical Impacts of Climate Change,2,False
Extractives & Minerals Processing,Metals & Mining,Leadership & Governance,Business Ethics,5,True
Extractives & Minerals Processing,Metals & Mining,Leadership & Governance,Competitive Behavior,4,True
Extractives & Minerals Processing,Metals & Mining,Leadership & Governance,Regulatory Environment Management,3,True
Extractives & Minerals Processing,Metals & Mining,Leadership & Governance,Critical Incident Risk Management,4,True
Extractives & Minerals Processing,Metals & Mining,Leadership & Governance,Systemic Risk Management,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,GHG Emissions,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,Air Quality,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,Energy Management,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,Water & Wastewater Management,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Environment,Ecological Impacts,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Human Rights & Community Relations,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Customer Privacy,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Data Security,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Access & Affordability,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Product Quality & Safety,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Customer Welfare,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Social Capital,Selling Practices & Product Labeling,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Human Capital,Labor Practices,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Human Capital,Employee Health & Safety,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Human Capital,Employee Engagement,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Human Capital,Diversity & Inclusion,5,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Model & Innovation,Product Design & Lifecycle,2,False
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Model & Innovation,Business Model Resilience,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Model & Innovation,Supply Chain Management,2,False
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Model & Innovation,Materials Sourcing & Efficiency,2,False
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Business Model & Innovation,Physical Impacts of Climate Change,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Leadership & Governance,Business Ethics,3,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Leadership & Governance,Competitive Behavior,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Leadership & Governance,Regulatory Environment Management,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Leadership & Governance,Critical Incident Risk Management,4,True
Extractives & Minerals Processing,Oil & Gas - Exploration & Production,Leadership & Governance,Systemic Risk Management,4,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,GHG Emissions,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,Air Quality,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,Energy Management,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,Water & Wastewater Management,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,Waste & Hazardous Materials,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Environment,Ecological Impacts,5,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Social Capital,Human Rights & Community Relations,4,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Social Capital,Customer Privacy,3,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Social Capital,Data Security,3,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Social Capital,Access & Affordability,4,True
Extractives & Minerals Processing,Oil & Gas - Midstream,Social Capital,Product Quality & Safety,3,True
